"Data Source","World Development Indicators",

"Last Updated Date","2018-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belgium","BEL","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","18.376221914997","18.7256353734902","19.0327705707291","19.3092386225935","19.5741407309437","19.8403071359361","20.2168661404616","20.5664605769861","20.8793580091426","21.1373210826088","21.3310651174022","21.6205450304002","21.8188498677784","21.9423201116781","22.0130857670914","22.0428747457462","22.2292044646483","22.3853735882427","22.4591827348355","22.3688354498869","22.0827795865161","21.821883307423","21.3755771271783","20.8769871689164","20.5063149529347","20.3598278894757","20.5744744930313","20.9692355442972","21.4674940767277","21.9499441560834","22.3478876919412","22.7957149576079","23.1656394078238","23.4803241720697","23.774905055831","24.0685078014079","24.468628809474","24.83874187406","25.1756144156062","25.4715731837221","25.7237772053865","25.9463050720774","26.1277745204173","26.2661779184103","26.3491163295365","26.3748561792833","26.3999851982288","26.3364325149805","26.2486685781025","26.2331498396577","26.3502220937405","26.5566528958722","26.8722514117951","27.2564955147579","27.6376366630694","27.9742851027427","28.4343035001085","28.8663095376732",
"Benin","BEN","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","8.89580698369771","8.89390757670705","8.84509278754592","8.74869227984607","8.60316149888154","8.4095460949906","8.56404290713646","8.67256661193867","8.73939090695036","8.76868741517687","8.76410148281433","8.86463940406643","8.92437009596117","8.94420687623347","8.92389165136378","8.86445859556174","8.87674148326128","8.8454011741683","8.77795363539516","8.68012896767358","8.55684415563849","8.49770449395206","8.40728410723327","8.28953086825785","8.14858977604285","7.98802443363086","7.91519762228585","7.82006699325954","7.70609311382245","7.57569707256487","7.43220004331045","7.31953193935281","7.19408651817003","7.06239593215356","6.93001616760995","6.80069100089851","6.71212492604718","6.61543288010181","6.51425311061445","6.41227030015037","6.31212601616494","6.25400773530497","6.18809001242827","6.12229714233996","6.0656299754369","6.0223723016247","6.05091854346229","6.08115365207646","6.10562054775516","6.11392898863872","6.10287298775322","6.10502299855183","6.08773966072647","6.05974966468096","6.03080042197533","6.0067133461716","6.003364848139","5.99846442645865",
"Burkina Faso","BFA","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","4.13788972438077","4.27473667230875","4.38657556491145","4.47506553218438","4.54295606643585","4.59259730802298","4.74830156518821","4.8814535032752","4.990527191386","5.07402760351317","5.13245076773977","5.28962905692976","5.41732929108266","5.51798241837705","5.59551252833841","5.65223801625012","5.81486475304105","5.95183167942096","6.06235519651811","6.14496782361777","6.19980384187332","6.34413493101783","6.45999010876215","6.54912282031596","6.61360454990618","6.65443796932908","6.70998243263754","6.73582202780518","6.73271378782634","6.69957354347461","6.63697910046124","6.59019334678091","6.51083154432645","6.40412683234025","6.27387941669177","6.12453599062087","6.0290377307196","5.90931723577605","5.77310118411531","5.62794875971403","5.47876571787545","5.40837281680135","5.32546330518655","5.2336332557101","5.13681098911991","5.03714113455613","5.01119190088833","4.97579124933671","4.93100297579837","4.87548617186444","4.80992561484001","4.79237721810402","4.76209906246629","4.72258120148816","4.67728113449671","4.62890802051372","4.6161505323696","4.59574298028758",
"Bangladesh","BGD","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","4.83604279327047","4.87963743639935","4.90323616506139","4.91052138571689","4.90788874933677","4.90142071687262","5.00702745062235","5.0962696025776","5.16614554686583","5.21363173651507","5.24046975671758","5.38350749597428","5.51024955373315","5.62311645937087","5.72511795732209","5.81833895729148","5.89465098723115","5.93082555600514","5.93128828992138","5.90274603637082","5.85259218081991","5.86438896970547","5.84343403530689","5.79494565987639","5.72592523482019","5.64263975546737","5.68191227206291","5.71045663792731","5.72764858715811","5.73199414588438","5.72504347835095","5.79073896306994","5.84197039863145","5.88190700145066","5.9137991587553","5.94114954188144","6.06370336620164","6.17521709344718","6.27948588247954","6.38030565301484","6.48070470230115","6.5921092656403","6.68905527645482","6.7771326086747","6.86307642419521","6.95031406458845","7.08254398759165","7.19978040247044","7.29796748492059","7.37226305730543","7.42056728729378","7.5233417317623","7.61066191240381","7.67433422727247","7.70097276930991","7.68716318324994","7.69062298763566","7.66284160339471",
"Bulgaria","BGR","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","11.4202362889444","11.5917245079301","11.7800101800338","11.990145729332","12.2278050826417","12.4991899792743","12.8131094886212","13.1402838560271","13.4842676380124","13.8503674746334","14.2431706381049","14.6541361182137","15.0556969173129","15.450632810868","15.8461840960489","16.2470367362393","16.7137626738372","17.1916351153654","17.6168810551518","17.8862690440618","17.9501414311077","17.8475140483597","17.5353173860494","17.1557488196117","16.9069900114098","16.8984975864475","17.279150060208","17.8513562980195","18.5315467973449","19.1923706866619","19.761872651761","20.4476833873771","21.0373226196397","21.5575945233752","22.0534138679847","22.5491820528462","23.0649096286021","23.5525787763379","23.983049445352","24.3058654099963","24.4920240178282","24.7936317776295","24.9732223131434","25.0600967403618","25.0996266531075","25.1282273301832","25.3255051803057","25.4967156228571","25.6921386477968","25.982615614743","26.412823258088","27.0983878046453","27.9122104306892","28.8012311280755","29.6710882481168","30.4571809723645","31.290738263092","32.019888007588",
"Bahrain","BHR","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.36923875929589","5.18489447060876","4.89955956601139","4.52529496647144","4.05465055176038","3.48063079931761","3.62349525134596","3.8128164696434","4.06007733480638","4.36811562061063","4.74209873347674","4.629645320364","4.51893184535672","4.40476101749234","4.2778074847742","4.1427916201009","3.90478278127647","3.67519137091162","3.47789461016592","3.33704997877313","3.25692760385376","3.46643596290821","3.67531470491464","3.87009322526211","4.02397919135641","4.12900767066578","3.96193996448115","3.78499611154316","3.61566767083346","3.46855886083062","3.35090886010892","3.44316997498115","3.51659669549886","3.55954345047384","3.57016430761523","3.56443936396895","3.62090518787208","3.66002187313581","3.66991693752257","3.6596506316756","3.63938319776423","3.48566289502855","3.36368788228167","3.26824632816084","3.18571486475532","3.10826498895255","2.95882304594395","2.84114624933654","2.75386735015531","2.69881295702472","2.67980731388958","2.76525325444145","2.84489311281901","2.91749701076126","2.97914665335306","3.02550142749926","3.02841216734038","3.04468036618035",
"Bahamas, The","BHS","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","7.0181984701752","6.84423520306983","6.69899039494277","6.59768466345661","6.53390802989168","6.47677769586489","6.37100376491609","6.27866519057409","6.22010682989841","6.20023963360693","6.21489753876179","6.29142183211046","6.36000081200138","6.43559932883907","6.51378195481422","6.58113835906751","6.69165523148191","6.79301096825354","6.89391400012033","6.98128411101604","7.04900854425278","7.04991940946997","7.03046357615894","6.99466946236877","6.95263396617638","6.9078348117319","6.88122710309172","6.85103205504294","6.82307193778354","6.80877117681218","6.82542913359115","6.88325361730289","6.96854663774403","7.06782330731278","7.1656494758576","7.262999927476","7.4468085106383","7.61595683008891","7.78758140352185","7.97486961388972","8.189613098449","8.38074573288404","8.57542945217801","8.75527924489083","8.92590112198747","9.12006556968115","9.29407313668445","9.46309693634943","9.60569410342301","9.73158964760552","9.85831351818736","10.1520470546435","10.4803708818307","10.8414897626395","11.245928788297","11.6962491627595","12.2007351535418","12.7509608214306",
"Bosnia and Herzegovina","BIH","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","5.878233491586","6.04715400059175","6.23517329019861","6.42709543265942","6.60623027866949","6.76629421961474","6.95461932034552","7.09439658547502","7.20354096642287","7.30942834087402","7.43012056499939","7.69219492866755","7.95303883571736","8.18859565628329","8.36994985458733","8.48460780337427","8.66083661954333","8.80006116355118","8.88925736882759","8.9074176427246","8.84920050530944","8.69387169209941","8.48227815073729","8.26062257676321","8.08660943551326","7.99253252435681","8.12227610901775","8.33151514070866","8.62837222670934","9.019674748201","9.5081303232719","10.1667252084395","10.9026965254963","11.7009721690224","12.5327902688719","13.3730696534218","13.9370270929949","14.4478515453538","14.9376331593177","15.4577610542074","16.032098775025","16.8281549074784","17.6934403426782","18.5309128451674","19.1923013729696","19.6009643636649","19.8470820978418","19.862561901668","19.7624563439661","19.7106110672331","19.8031864254486","20.1604891096676","20.6203996286519","21.1745594700601","21.8074671124628","22.5155928103926","23.1653275194748","23.9086132132881",
"Belarus","BLR","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","13.3160649428697","13.3614886886699","13.3565432514598","13.333953706212","13.3392898520183","13.396132827473","13.5998189810014","13.8403582173402","14.0908651381386","14.3117234154045","14.4825013799195","14.7099653260884","14.8895078209712","15.0592896728846","15.2571047872212","15.4910304552853","15.7538822481952","16.0193706228925","16.2264731131671","16.2984456560186","16.2136827852497","16.0043737595414","15.6695080949229","15.2979208218322","15.0098018031231","14.8732228511762","14.9390919651903","15.1012093232118","15.352168912056","15.6874752808107","16.106872057253","16.6794563148727","17.3157589795272","17.9513196173682","18.493091231652","18.8889241251228","19.2684632670484","19.4788826921821","19.5853821842944","19.6907667970707","19.8539645203836","20.2334816897079","20.6566317139644","21.0320884968995","21.2205703709706","21.1514404888759","21.0512651900165","20.7287009729856","20.295327214828","19.9061373380771","19.6512673401395","19.6797345640923","19.8221821125251","20.0538164486277","20.3281075205388","20.6178712396421","21.1140779591232","21.6176852864125",
"Belize","BLZ","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","8.20214342475462","8.37299824416661","8.5045875368456","8.61816703921967","8.68926351740434","8.73346375099266","8.80114535453244","8.83435582822086","8.84692733453167","8.83716906039107","8.8345769677778","9.0121777217374","9.15590896447913","9.29624307786693","9.42278287461774","9.54593983545814","9.56887486855941","9.55993007524512","9.49352950812348","9.3640475255588","9.17347994275431","9.00337814735287","8.82286891850834","8.62134980600367","8.41485351009043","8.19473484128493","8.10082252378868","8.00191662673694","7.93132436627005","7.88568680945362","7.88027997070074","7.98075773873551","8.12408837723807","8.29701465254327","8.45656409725425","8.56980807581829","8.22983952251155","7.8738315805301","7.55251432208784","7.28372057649161","7.05963138555493","6.81931659153721","6.58683447718741","6.34190513061109","6.08471814510249","5.8037353437936","5.86287104163223","5.93039348015514","6.01861267926934","6.14280630374624","6.31656865567299","6.19969631710052","6.09711030375166","6.01135814403093","5.94366552304797","5.89878079645323","5.92008144566047","5.95213551159089",
"Bermuda","BMU","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Age dependency ratio, old (% of working-age population)","SP.POP.DPND.OL","8.6572133583998","8.5456210351898","8.40076074478097","8.22933057046996","8.03682528168008","7.82594162461293","7.72811112376181","7.60221987724661","7.45937499184761","7.310282057633","7.1604871873371","7.12323617448003","7.07084318554553","7.0083915915888","6.93991134591267","6.86694818459416","6.93283403539554","6.98895399253945","7.03180065940609","7.05470182640691","7.05500790477076","7.15302133112219","7.23422093716428","7.30733881700658","7.38042488869245","7.45696446425223","7.57932360613874","7.70072628733743","7.82722513089005","7.96448488809198","8.11366119514105","8.23383003558479","8.3547686525784","8.47143705439357","8.57644284668829","8.66636302897239","8.74421707011911","8.8077771522914","8.86075302071378","8.90534072219305","8.94401266630777","9.0058259951241","9.05934332579998","9.1169901820587","9.19394735824991","9.29735579494549","9.42821775814962","9.57877533314492","9.73777294194268","9.8887181458404","10.0252235616702","10.1354104548888","10.2266575486148","10.3173115152156","10.4317613845281","10.5836288188298","10.7167051568923","10.8728267092337",
